Name,sample_size,power
Luminous exposure (lx*h),45,1
Luminous exposure (lx*h),46,1
Luminous exposure (lx*h),47,1
Luminous exposure (lx*h),48,1
Luminous exposure (lx*h),49,1
Luminous exposure (lx*h),50,1
"Mean of brightest 10 hours (M10, lux)",3,0.9
"Mean of brightest 10 hours (M10, lux)",4,1
"Mean of brightest 10 hours (M10, lux)",5,1
"Mean of brightest 10 hours (M10, lux)",6,1
"Mean of brightest 10 hours (M10, lux)",7,1
"Mean of brightest 10 hours (M10, lux)",8,1
"Mean of brightest 10 hours (M10, lux)",9,1
"Mean of brightest 10 hours (M10, lux)",10,1
"Mean of brightest 10 hours (M10, lux)",11,1
"Mean of brightest 10 hours (M10, lux)",12,1
"Mean of brightest 10 hours (M10, lux)",13,1
"Mean of brightest 10 hours (M10, lux)",14,1
"Mean of brightest 10 hours (M10, lux)",15,1
"Mean of brightest 10 hours (M10, lux)",16,1
"Mean of brightest 10 hours (M10, lux)",17,1
"Mean of brightest 10 hours (M10, lux)",18,1
"Mean of brightest 10 hours (M10, lux)",19,1
"Mean of brightest 10 hours (M10, lux)",20,1
"Mean of brightest 10 hours (M10, lux)",21,1
"Mean of brightest 10 hours (M10, lux)",22,1
"Mean of brightest 10 hours (M10, lux)",23,1
"Mean of brightest 10 hours (M10, lux)",24,1
"Mean of brightest 10 hours (M10, lux)",25,1
"Mean of brightest 10 hours (M10, lux)",26,1
"Mean of brightest 10 hours (M10, lux)",27,1
"Mean of brightest 10 hours (M10, lux)",28,1
"Mean of brightest 10 hours (M10, lux)",29,1
"Mean of brightest 10 hours (M10, lux)",30,1
"Mean of brightest 10 hours (M10, lux)",31,1
"Mean of brightest 10 hours (M10, lux)",32,1
"Mean of brightest 10 hours (M10, lux)",33,1
"Mean of brightest 10 hours (M10, lux)",34,1
"Mean of brightest 10 hours (M10, lux)",35,1
"Mean of brightest 10 hours (M10, lux)",36,1
"Mean of brightest 10 hours (M10, lux)",37,1
"Mean of brightest 10 hours (M10, lux)",38,1
"Mean of brightest 10 hours (M10, lux)",39,1
"Mean of brightest 10 hours (M10, lux)",40,1
"Mean of brightest 10 hours (M10, lux)",41,1
"Mean of brightest 10 hours (M10, lux)",42,1
"Mean of brightest 10 hours (M10, lux)",43,1
"Mean of brightest 10 hours (M10, lux)",44,1
"Mean of brightest 10 hours (M10, lux)",45,1
"Mean of brightest 10 hours (M10, lux)",46,1
"Mean of brightest 10 hours (M10, lux)",47,1
"Mean of brightest 10 hours (M10, lux)",48,1
"Mean of brightest 10 hours (M10, lux)",49,1
"Mean of brightest 10 hours (M10, lux)",50,1
"Mean of darkest 5 hours (L5, lux)",3,0.7
"Mean of darkest 5 hours (L5, lux)",4,0.7
"Mean of darkest 5 hours (L5, lux)",5,0
"Mean of darkest 5 hours (L5, lux)",6,0.7
"Mean of darkest 5 hours (L5, lux)",7,0.3
"Mean of darkest 5 hours (L5, lux)",8,0.5
"Mean of darkest 5 hours (L5, lux)",9,0.5
"Mean of darkest 5 hours (L5, lux)",10,0.4
"Mean of darkest 5 hours (L5, lux)",11,0.7
"Mean of darkest 5 hours (L5, lux)",12,0.8
"Mean of darkest 5 hours (L5, lux)",13,0.7
"Mean of darkest 5 hours (L5, lux)",14,0.7
"Mean of darkest 5 hours (L5, lux)",15,0.4
"Mean of darkest 5 hours (L5, lux)",16,0.6
"Mean of darkest 5 hours (L5, lux)",17,0.7
"Mean of darkest 5 hours (L5, lux)",18,0.7
"Mean of darkest 5 hours (L5, lux)",19,1
"Mean of darkest 5 hours (L5, lux)",20,0.9
"Mean of darkest 5 hours (L5, lux)",21,0.7
"Mean of darkest 5 hours (L5, lux)",22,0.9
"Mean of darkest 5 hours (L5, lux)",23,0.6
"Mean of darkest 5 hours (L5, lux)",24,0.8
"Mean of darkest 5 hours (L5, lux)",25,0.7
"Mean of darkest 5 hours (L5, lux)",26,0.7
"Mean of darkest 5 hours (L5, lux)",27,0.7
"Mean of darkest 5 hours (L5, lux)",28,0.9
"Mean of darkest 5 hours (L5, lux)",29,0.8
"Mean of darkest 5 hours (L5, lux)",30,0.5
"Mean of darkest 5 hours (L5, lux)",31,0.9
"Mean of darkest 5 hours (L5, lux)",32,1
"Mean of darkest 5 hours (L5, lux)",33,0.8
"Mean of darkest 5 hours (L5, lux)",34,0.9
"Mean of darkest 5 hours (L5, lux)",35,0.9
"Mean of darkest 5 hours (L5, lux)",36,0.8
"Mean of darkest 5 hours (L5, lux)",37,1
"Mean of darkest 5 hours (L5, lux)",38,1
"Mean of darkest 5 hours (L5, lux)",39,0.8
"Mean of darkest 5 hours (L5, lux)",40,0.7
"Mean of darkest 5 hours (L5, lux)",41,0.9
"Mean of darkest 5 hours (L5, lux)",42,0.8
"Mean of darkest 5 hours (L5, lux)",43,1
"Mean of darkest 5 hours (L5, lux)",44,1
"Mean of darkest 5 hours (L5, lux)",45,0.9
"Mean of darkest 5 hours (L5, lux)",46,1
"Mean of darkest 5 hours (L5, lux)",47,1
"Mean of darkest 5 hours (L5, lux)",48,1
"Mean of darkest 5 hours (L5, lux)",49,1
"Mean of darkest 5 hours (L5, lux)",50,1
Mean timing of light above 250 lx (hh:mm),3,0.1
Mean timing of light above 250 lx (hh:mm),4,0.1
Mean timing of light above 250 lx (hh:mm),5,0.3
Mean timing of light above 250 lx (hh:mm),6,0.3
Mean timing of light above 250 lx (hh:mm),7,0.5
Mean timing of light above 250 lx (hh:mm),8,0.4
Mean timing of light above 250 lx (hh:mm),9,0.3
Mean timing of light above 250 lx (hh:mm),10,0.1
Mean timing of light above 250 lx (hh:mm),11,0.4
Mean timing of light above 250 lx (hh:mm),12,0.3
Mean timing of light above 250 lx (hh:mm),13,0.6
Mean timing of light above 250 lx (hh:mm),14,0.7
Mean timing of light above 250 lx (hh:mm),15,0.4
Mean timing of light above 250 lx (hh:mm),16,0.6
Mean timing of light above 250 lx (hh:mm),17,0.4
Mean timing of light above 250 lx (hh:mm),18,0.6
Mean timing of light above 250 lx (hh:mm),19,0.3
Mean timing of light above 250 lx (hh:mm),20,0.4
Mean timing of light above 250 lx (hh:mm),21,0.8
Mean timing of light above 250 lx (hh:mm),22,0.7
Mean timing of light above 250 lx (hh:mm),23,0.7
Mean timing of light above 250 lx (hh:mm),24,0.7
Mean timing of light above 250 lx (hh:mm),25,0.6
Mean timing of light above 250 lx (hh:mm),26,0.6
Mean timing of light above 250 lx (hh:mm),27,0.9
Mean timing of light above 250 lx (hh:mm),28,0.8
Mean timing of light above 250 lx (hh:mm),29,0.6
Mean timing of light above 250 lx (hh:mm),30,0.8
Mean timing of light above 250 lx (hh:mm),31,0.6
Mean timing of light above 250 lx (hh:mm),32,0.5
Mean timing of light above 250 lx (hh:mm),33,0.4
Mean timing of light above 250 lx (hh:mm),34,0.6
Mean timing of light above 250 lx (hh:mm),35,0.9
Mean timing of light above 250 lx (hh:mm),36,0.7
Mean timing of light above 250 lx (hh:mm),37,0.8
